sentences,labels,sentences_zh
"Dynamically Linking Influenza Virus Infection Kinetics, Lung Injury, Inflammation, and Disease Severity",systems biology,动态连接流感病毒感染动力学，肺损伤，炎症和疾病严重程度
Transcriptomic analysis of human and mouse muscle during hyperinsulinemia demonstrates insulin receptor downregulation as a mechanism for insulin resistance,physiology,高胰岛素血症期间人和小鼠肌肉的转录组分析表明胰岛素受体下调是胰岛素抵抗的机制
Endocytosis against high turgor pressure is made easier by partial protein coating and a freely rotating base,biophysics,通过部分蛋白涂层和自由旋转的底座使针对高急性压力的内吞作用变得更容易
Negative Affect Induces Rapid Learning of Counterfactual Representations: A Model-based Facial Expression Analysis Approach,neuroscience,负面影响引起反事实表示的快速学习：一种基于模型的面部表达分析方法
Coding Triplets in the Transfer RNA acceptor Arm and Their Role in Present and Past tRNA Recognition,genetics,传输RNA受体组中的编码三胞胎及其在当前和过去的tRNA识别中的作用
"Internal noise measures in coarse and fine motion direction discrimination tasks, and the correlation with autism traits",neuroscience,内部噪声措施以粗糙和精细的运动方向歧视任务以及与自闭症特征的相关性
Polymer brush bilayers under stationary shear motion at linear response regime: A theoretical approach,biophysics,在线性响应方面的固定剪切运动下的聚合物刷双层：一种理论方法
What the odor is not: Estimation by elimination,neuroscience,气味不是：消除估算
The Cdc14 phosphatase controls resolution of recombination intermediates and crossover formation during meiosis,genetics,CDC14磷酸酶控制减数分裂过程中重组中间体和跨界形成的分辨率
The solution structure of Dead End bound to AU-rich RNA reveals an unprecedented mode of tandem RRM-RNA recognition required for mRNA regulation,molecular biology,与富含AU的RNA结合的死端的溶液结构揭示了mRNA调节所需的串联RRM-RNA识别的前所未有的模式
"Conserving unprotected important coastal habitats in the Yellow Sea: shorebird occurrence, distribution and food resources at Lianyungang",ecology,在黄海保存未受保护的重要沿海栖息地：Lianyungang的海鸟发生，分配和食物资源
Eco-evolutionary dynamics further weakens mutualistic interaction and coexistence under population decline,ecology,生态进化动态进一步削弱了人口下降下的相互作用和共存
Event segmentation reveals working memory forgetting rate,neuroscience,事件细分显示工作内存遗忘率
Recombination-independent recognition of DNA homology for meiotic silencing in Neurospora crassa,molecular biology,对Neurospora Crassa中减数分裂沉默的DNA同源性的重组识别的识别
Publicly available transcriptomes provide the opportunity for dual RNA-Seq meta analysis in Plasmodium infection,bioinformatics,公开可用的转录组为疟原虫感染中的双RNA-seq元分析提供了机会
"Common variants associated with OSMR expression contribute to carotid plaque vulnerability, but not to cardiovascular disease in humans",genetics,与OSMR表达相关的常见变体有助于颈动脉斑块脆弱性，但不导致人类心血管疾病
Liver X Receptor; Controls Hepatic Stellate Cell Activation via Hedgehog Signaling,cell biology,肝X受体；通过刺猬信号传导控制肝星状细胞激活
Balancing selection of the Intracellular Pathogen Response in natural Caenorhabditis elegans populations,genetics,平衡天然秀丽隐杆线虫种群中细胞内病原体反应的选择
A candidate causal variant underlying both enhanced cognitive performance and increased risk of bipolar disorder,genetics,候选因果变体既增强的认知表现又增加了双相情感障碍的风险
"PME-1 suppresses anoikis, and is associated with therapy relapse of PTEN-deficient prostate cancers",cancer biology,PME-1抑制ANOIKI，并与PTEN缺陷前列腺癌的治疗复发有关
A stable pollination environment limits current but not potential evolution of floral traits,evolutionary biology,稳定的授粉环境限制了花卉特征的当前但不潜在的演变
Protein structure without structure determination: direct coupling analysis based on in vitro evolution,evolutionary biology,蛋白质结构没有结构确定：基于体外进化的直接耦合分析
Variations in Structural MRI Quality Significantly Impact Commonly-Used Measures of Brain Anatomy,neuroscience,结构MRI质量的变化显着影响了脑解剖结构的常用措施
Rapid neural representations of personally relevant faces,neuroscience,个人相关面孔的快速神经表现
Single trial dynamics of attentional intensity in visual area V4,neuroscience,视觉区域V4注意强度的单个试验动力学
"Quantifying Climatic and Socio-Economic Influences on Urban Malaria in Surat, India: A Modelling Study",ecology,量化印度苏拉特市城市疟疾的气候和社会经济影响：一项建模研究
Genomic data and multi-species demographic modelling uncover past hybridization between currently allopatric freshwater species,evolutionary biology,基因组数据和多物种人口统计模型发现了当前同种异体淡水物种之间的过去杂交
Effective clustering for single cell sequencing cancer data,cancer biology,单细胞测序癌症数据的有效聚类
Global mammalian zooregions reveal a signal of past human impacts,ecology,全球哺乳动物Zooregions揭示了过去人类影响的信号
Recovery of trait heritability from whole genome sequence data,genetics,从整个基因组序列数据中恢复性状遗传力
The PIWI/piRNA response is relaxed in a rodent that lacks mobilizing transposable elements,evolutionary biology,piwi/piRNA响应在缺乏动员转座元件的啮齿动物中放松
Mammalian mitochondrial mutational spectrum as a hallmark of cellular and organismal aging.,genomics,哺乳动物线粒体突变光谱是细胞和生物衰老的标志。
"Familiar neighbours, but not relatives, enhance fitness in a territorial mammal",evolutionary biology,熟悉的邻居，但不是亲戚，可以增强领土哺乳动物的健康状况
The degree of polymerization and sulfation patterns in heparan sulfate are critical determinants of cytomegalovirus entry into host cells,microbiology,硫酸乙酰肝素的聚合和硫酸化模式的程度是巨细胞病毒进入宿主细胞的关键决定因素
Library Preparation and Sequencing Platform Introduce Bias in Metagenomic-Based Characterizations of Microbiomes,microbiology,图书馆的准备和测序平台引入了基于元基因组的微生物特征的偏见
Phylogenetic inference of changes in amino acid propensities with single-position resolution,evolutionary biology,单位分辨率的氨基酸倾斜度变化的系统发育推断
Extensive genetic mixing within the clam genus Corbicula,evolutionary biology,蛤corbicula中的广泛遗传混合
Rate-limiting transport of positive charges through the Sec-machinery is integral to the mechanism of protein transport,biochemistry,正电荷通过SEC机制的限速运输是蛋白质传输机制的组成部分
Single cell transcriptomics identifies master regulators of dysfunctional pathways in SOD1 ALS motor neurons,genomics,单细胞转录组学识别SOD1 ALS运动神经元中功能失调途径的主调节剂
Population receptive fields of human primary visual cortex organised as DC-balanced bandpass filters.,neuroscience,人类原发性皮层的种群接受场，作为DC平衡带通滤波器组织。
CRISPR-SID: identifying EZH2 as a druggable target for desmoid tumors via in vivo dependency mapping,cancer biology,CRISPR-SID：通过体内依赖性映射将EZH2识别为脱乳突肿瘤的可药物靶标
OpenAnnotate: a web server to annotate the chromatin accessibility of genomic regions,bioinformatics,OpenAnnotate：一个用于注释基因组区域染色质可及性的Web服务器
Rapid label-free identification of pathogenic bacteria species from a minute quantity 1 exploiting three-dimensional quantitative phase imaging and artificial neural network,microbiology,从微量数量1利用三维定量相成像和人工神经网络的病原细菌物种的快速无标记鉴定
Quality control of large genome datasets using genome fingerprints,genomics,使用基因组指纹对大基因组数据集的质量控制
Tumor-targeted delivery of childhood vaccine recall antigens by attenuated Listeria reduces pancreatic cancer,immunology,以肿瘤为目标的儿童疫苗通过减毒李斯特菌的抗原减少胰腺癌
Heterologous Cas9 and non-homologous end joining as a Potentially Organism-Agnostic Knockout (POAK) system in bacteria,synthetic biology,在细菌中成为潜在的生物敏捷敲除（POAK）系统的异源CAS9和非同源末端
